ID,commentText
15165,"I tried Popeyes once, it was horrible"
15166,Do a will it boil
15167,New intro! Finally!
15168,Ayyy let's go
15169,We love a fresh new intro sisters
15170,YES!!!! CAN'T WAIT TO SEE WHAT Y'ALL ARE BRINGING TO US THIS 2019!!!
15171,What are those bags called
15172,WOOT!
15173,O.M.G. I was NOT ready for that intro!!
15174,This new intro is clean AF
15175,Love the new intro
15176,The boys leave stuff in flavorless water for a few days and are surprised the water tastes like the stuff they left in it' the episode. I enjoyed the ep but gotta be their least interesting will it.
15177,Any Catan players out there? 8:59
15178,Love the new intro aaaaaaaaaaaaannnnnnnnddddddddddddd I love you guys
15179,I dont like Twinkies. Cant relate.
15180,Where are the Skittle milk
15181,Its nourished Rhett. The word for hydration but for food is nourished.
15182,"But I've been drinking plenty of... (reads label) ""Malk""?"
15183,do the spicy noodle challenge and who over loses have to eat a ghost pepper and whoever wins can have a habanero
15184,"New opening? Ew. Disgusting. Get that out of here. Who is the right mind had the right mind passes that on? Thats awful. That intro looks god awful. Fix it. Im not even going to say please, I am making a demand. Fix your intro. My god, what a time to be alive."
15185,"i have never watched as many reruns of a show as I have last week, waiting for you guys to come back"
15186,The intro is dope
15187,Love the new intro!!!!
15188,Close your eyes at 4:05
15189,Twinkie-19
15190,Did this just gross anyone else out???
15191,Secretly hoping that we get either a Supernatural cast guest or Jason Mamoa as a guest this season
15192,You guys come up with some crazy things to too. Love it. The spider milk was nasty
15193,"Seriously, you take the tour to Ohio right after I move to Texas"
15194,Whos here early ?
15195,"So essential you made tea. Spider tea. I refuse to call these ""milks"". LOL
Nice start to the season."
15196,"Will it milk is basically ""does it nipple"""
15197,HAPPY SEASON 15 I LOVE YOUR VIDS GMM
15198,I like the new intro! Its my favorite one yet
15199,WOWW NEW INTROO
15200,Heck that spider milk made me feel sick!
15201,Isn't that just Cheeto water?
15202,Love you guys keep up the good work. Ive been watching you guys since 2011 and have been watching you every morning since.
15203,I this episode rated PG? I'm still asking myself this question.
15204,When I heard spider I went ultimate no
15205,Indont like the concept of flavored milk
15206,Wow spider milk
15207,family show?
15208,I miss this show so happy that your back
15209,Will it gravy?? Please like
15210,"I like the new intro, has a less sterile feel and has the same asthetics as the set"
15211,God don't watch this after a night of drinking
15212,Where's the skittle milk?
15213,Also all the people on the spaceship in the movie Wall-E ate their food through a drink just like that.
15214,"For 2019, can ""dink it"" be changed to ""twink it"" for the craic"
15215,heres to a new season!!!
15216,Eatrated... Nourished?
15217,3:36 oh hey looks like its finally gonna be my year!
15218,4:15 Link just dialed up to the internet.
15219,Wall-E becoming true
15220,Thats popeye breast milk fellas gotta say it right lol
15221,SKITTLES MILK
15222,Will it jello all of this milk
15223,LOVE THE INTRO
15224,New season boys
15225,Eat-drated lol you mean youre being fed
15226,"wood you like some milk?
wood you?
anybody catch thiz random commercial challenge reference "
15227,Its like a camping mug. I love it!
15228,Hydrated and...satiated?
15229,I would like to see cow's milk made using this method. What part of the cow would you even use?
15230,Wheres the skittlemilk ???
15231,"Yoursoloud: What time stamps for some funny inappropriate clips?             
Yoursoloud after watching: well, the whole thing I guess."
15232,Tastes like chicken
15233,New intro is LIT!!!
15234,2019 the year of the twink
15235,New logos for GMM and GMMore pretty snazzy!!
15236,Love the new theme song
15237,Love the new intro and the new pic!
15238,that intro literally gave me a jumpscare for a sec
15239,I LOVE the NEW INTRO!
15240,Milk of Popeye
15241,"That spider milk is undeniably the worst thing they have ever made on this show. I don't know if that's the case taste-wise, but it is DEFINITELY the most conceptually unpleasant and revolting thing they have ever shown on this show, good god. May God have mercy on whoever's brain birthed that unholy thing."
15242,Surely it should have been SpiderMam (mary) ?
15243,The best intro theme song ever!!!
15244,DAAAAAAMN the intro looks sick AF!!!
15245,I was JUST getting used to the last intro
15246,"I could not stop laughing he said in one sentence nut, sack, bonified."
15247,I want to sue that intro...
15248,NEW INTROOOOOOO!!!
15249,I thought they would do ski-milk
15250,That word is called nourished rhett
15251,What kind of IDIOT dislikes this video?
15252,Welcome back!
15253,"Aw how nice, Link complimented Rhett. Well they both seem fit to me and are both handsome guys. Love GMM love all the side channels. Happy 2019 yal."
15254,Woooooooo
15255,"Imagine a superhero called Spider-Nipple rescuing me. I would not trust them.
Your Friendly Neighborhood Spider-Nipple"
15256,Good mornin
15257,got wood? needs to be a GMM shirt
15258,That intro tho..
15259,The new intro: Thanks I hate it
15260,Spider milk might be the most disgusting thing Ive ever seen on this show
15261,Who would go to a GMM pop up bar to try some of the weird stuff they eat/drink?
15262,Need to hold near the teet for a better milking experience.
15263,Will it muffon
15264,Got too hype when they said saint Louis. Nobody comes to Missouri ffs
15265,"Rhett  Dont look at it, dont look at it
Link Look at it"
15266,Oh yeah GMM is back people
15267,"9:00 a name for it could be ""Good Mythical Morning Wood"""
15268,I once made peppermint milk. I had a peppermint stick sit in a cup of milk for over an hour. It was pretty good.
15269,I really miss you guys! especially Stevie hahaha. Iloveyou Stevie!
15270,That last bit was truly one of the worst things I've experienced watching this show.
15271,"Rhett, buddy, the word was satiated ."
15272,spider milk?!
15273,I think this is the first time Ive watched GMM in the morning. Nice intro btw.
15274,Happy New Year and New Season!!
15275,4:38 Don't do it. Please.
15276,"Im actually surprised their isnt 1,000 nine year olds complaining about the new intro"
15277,It's kinda creepy seeing all the creatures with antlers in this show after watching the first season of true detective.
15278,"the new intro feels a lot more calm than the older intros, i'm not sure if i like it better. But it is a very good intro!"
15279,shoutout to JOSH has DUN with this
15280,Love the new intro
15281,THE YEAR OF THE TWINK
15282,Reaaaally into the new season intro
15283,I can't beleive they are drinking spiders and wood for us yet other people refuse to eat gummy vs real food.
15284,Good mythical morning guys
15285,"No more Die Hard movies, it's time for Milk Hard to hit the theaters. Who's with me?"
15286,You can never go wrong with green! It's my favourite colour! :D <3
15287,So yeah why am I watching this eating breakfast and why is my coffee the same color as the spider milk?
15288,The new intro
15289,So happy they're back
15290,"That new intro has really got me boppin, ngl"
15291,Love the new intro for GMM.
15292,NEW SEASONS NEW AWESOME INTRO!!
15293,I really think will it tea? would have been a better title
15294,Im in class and got a notification so had to watch
15295,And we're BACK!!!!!!!!!!! FINALLY!!!!
15296,nothing tops skittle milk though
15297,"I'm starting to realize that good mythical morning will never be ruined, no matter how they change it up (the multiple videos a day were still a bit weird"
15298,Its not get this bread it is       drink this milk
15299,Have never been closer to gagging from this show. Its gonna be a good year.
15300,"Rhett milking twinks snd sqeezing breasts, the true bisexual icon"
15301,Digging the new intro fellas!
15302,Y'all why did my jaw drop at the new logo
15303,You definitely gotta do this again but with your most hated for items.
15304,This is how we start off 2019
15305,"11:40 The reason it's pink is because it has spider blood mixed in with it. Unless the spiders are dehydrated, of course..."
15306,Eatdrated=Nourished?
15307,Love it!!!!
15308,I'm sure it could also be called sinking
15309,Genuinely sickening
15310,Milko mode
15311,"Yall are gonna be in Columbus, I hope I can go"
15312,I just realized how tall Rhett is.... hes 67
15313,That new intro tho
15314,Whiskey is wood milk.
15315,WILL IT GUM
15316,Somehow this seems the most gross to me out of all of the will it videos
15317,This reminds me of the people on the ship in WALL-E drinking all there meals
15318,No. Di you change it every season ?!
15319,I really liked this episode :)
15320,"I dont like the new intro  , and the music is so bad. But i still like you.  
Edit: Ok , i take that back , now i like the music."
15321,
15322,nice new intro
15323,"Rhett, the word you're looking for is nourishing or nourishment/nourished. That's typically what you call it when you get nutrients from things like meal replacement or protein shakes."
15324,Love the new intro its so different
15325,Nooo I liked the old intro better. The song changed aaahhhh
15326,"Hi, Good Morning."
15327,Will it gyro? Will it juice? Will it sandwich spread? Will it grill?
15328,"Is it me, or does the new intro remind anybody else of Everybody Hates Chris?"
15329,"hmmmmmmm tannin milk.
I would not wanna drink that."
15330,So happy GMM is back
15331,HOORAY LOVE THE NEW INTRO!!
15332,They're back!!
15333,my dad quit drinking cow milk because of the estrogen. then his doctor told him that fermented soy has more estrogen than cow milk. i had told him that but he didn't believe it until the doc told him. lol
15334,Its finnaly here! Congratulations on Season 15!
15335,So glad to see you guys back! Love the new seasons intro!
15336,"Yay, you're back! I love the new intro and outro looks; super artsy!"
15337,"asdfhkdjsj ""year of the twink"""
15338,Yeah Rhett link can you pls do a dare challenge video just do a dare on what you get form a box fill with dares and he can't do the dare points get deducted by 1. #mythicalbest#mythical15
15339,I thought Rhetts shirt just said thic
15340,Today we ask the age old question will it milk 90% no
15341,"Warning: You'll not be able to read this if you have color blindness.














































































































"
15342,Love the new intro guys!
15343,Yikes. Not a fan of the new intro.
15344,I just woke up wow its 5am in Canada
15345,Yay! They're back!
15346,Of all the episodes of this I've watched the spider milk was the first thing to make me physically recoil. Spider on it's own? I'd try that. Spider milk? NOOOO
15347,NEW INTRO
15348,New Year New Intro New Stuff 0:04
15349,Eatdrated I think you mean nourished rhett
15350,"Lol vegans are quaking at the ""breast milk"""
15351,YOURE BACK YAY
15352,"Ayyy, new intro! Pretty pleased with this one. Sweet!"
15353,Well thats fun...today is my first day back to school....not a bad way to start off this day
15354,"I love that the crew caught the ""year of the twink"" :3"
15355,"Do another cereal taste test with all the new flavors there are; sour patch kids, hostess powdered donuts & honey buns, nilla banana pudding, pop tarts, etc"
15356,Intro needs bass
15357,Good morning everyone!!
15358,Will it die?
15359,"It's not milk. It's more like.. juice.
Definition of milk: 
An opaque white fluid rich in fat and protein, secreted by female mammals for the nourishment of their young."
15360,"2019, THE YEAR OF THE TWINK."
15361,GMM makes me so happy
15362,Gotta Love that Intro
15363,"I love it how much they giggled at the terms ""milk sack"" ""nut sack"" ""squeezing the nut sack"" etc... It's so immature and yet hilarious and I absolutely love it."
15364,Got wood?.... Milk it!!
15365,"You know, the second I saw ""Will It Milk?"" I knew Cheetos would somehow be involved."
15366,This had to be the most akward episode they made so far
15367,Great start!
15368,"It's never the start of a new year until Rhett & Link upload, have new mugs, and a new intro. Happy New Year guys!"
15369,You can see link actually throw up at the end
15370,WELCOME BACK!!  Season 15!  Heck Yea!!!
15371,"I just need to know, is Herb still alive? Herb the tarantula pet"
15372,Out of allll the nasty things yall ate over the years... this one i couldn't finish watching lmaoooo made me queezy hahahahahahaha
15373,Love the new opening.
15374,2019: Year of the twink.........
15375,Where're the Sip Daddys
15376,Happy 2019!!
15377,"hello twitch, is this a cheeto?"
15378,The Year of the Twink. - Rhett 2019
15379,i love the new intro
15380,"Spider Milk Spider Milk
Milks whatever a spider milks"
15381,I love will it
15382,"Rhetts confused smile when the crew laughs at his YEAR OF THE TWINK!
I love when one of them says something super dirty-sounding and doesnt recognize the innuendo. "
15383,"Love the new intro, it's awesome!"
15384,I love the new intro!
15385,We need to MILK HARD!
15386,I like the new intro. Its way more chill than the last one.
15387,"Bro not gonna lie I gagged for the twinkies
Edit: I'm gagging this whole episode"
15388,"As a twink, this is MY year"
15389,"I am so glad the new season started because in less than a year I have officially watched 80% of all your videos.  Yeah, I am a tad addicted.  I <3 you two.  Keep doing what you're doing!!"
15390,CAN YOU COME TO PERTH AUSTRALIA??!!
15391,04:17 make a gif please!!!
15392,They shouldve also taste tested the new milks that they created by trying them with plain cornflakes
15393,"NEW INTRO, NEW EVERYTHING!!!!"
15394,Ahhh I love the new intro!!!
15395,"Yup, Link vomited, off to a great start!"
15396,"Meanwhile in the back ground I slowly drink my real milk, debating my life choices."
15397,its so twonk
15398,"If it aint broke, dont fix it
The new intro video and song are shit"
15399,"Honestly, I'm not a fan of the new intro music. I hope that they don't keep it. I always jam to the original one."
15400,Love the new opening!
15401,"Wait, isnt it good mythical afternoon side they posted an hour ago or are they on the other side of the world?"
15402,"2019 we should all,
MILK HARD"
15403,I dont like the new song
15404,Can i get 100 likes because of what happened to the Chicago bears last night
15405,I love the new intro
15406,"""We call it twink de len te"" 
          Rett 2019"
15407,Im eating kfc dammit
15408,Ok guy u got me good I had to vomit while watching. I'm not joking. That's a good start!
15409,"NO. WTF IS UP WITH THE NEW OPENING THEME. 
NO."
15410,THEY'RE BACK! BTW I LOVE THE NEW INTRO!
15411,Year of the Twink
15412,Will icon bread
15413,I gotta get those mugs they look nice and I love the new intro. Better than the last one in my opinion
15414,"Never got here this early especially on first episode of the season in the NEW YEAR
YESSSS"
15415,New Idea: Will it Cream Cheese
15416,sell this to people who have just had surgery and arent back on solid food yet
15417,2019! Lets go mythical beasts!!!!!!!!!
15418,"Intro: Visuals good, sound bad.
But, love you guys. I am happy you are back."
15419,Not because I'm afraid of them they're just gross there so much bacteria I'm not going to even watch someone attempt to kill themselves  By poisoning their body with bacteria lol you guys should be on your own
15420,What happened to Rhett after this.  I thought he was lactose intolerant?
15421,The first episode of season 15 was on my birthday
15422,Guys scared to moan... I be in my girls ear like 4:09
15423,Just spending my morning watchin two grown men squeezing massive sacks to collect its milk.
15424,I LOVE THE INTRO!
15425,Loved the episode!
15426,Why would you do this to yourselves?
15427,"Lovve the new intro... also need a Damnyell on a will it.
I want to see Rhett break character, wretch, Richard fall off."
15428,"Watching this when you dont feel good is a bad idea lmao 
I keep coughing and gagging when looking at the Twinkie bag "
15429,I would have to turn it off if I saw cockroaches
15430,"2019, The year of the twink"
15431,absolutely loving the new mugs!!
15432,"""2019, the year of the twink!"" - Rhett
If only he knew what he just implied."
15433,Yay!!!! Missed you men didn't realize it was time already for you to come back
15434,here before 1 million views
15435,sate or satiate
15436,My spider essence is tingling.
15437,"My dad walked in on me watching this and asked what they were drinking, so I said, ""tarantulas,"" and he responded, ""hm. I was gonna eat, but now I'm not."""
15438,Missed GMM so much  I am now ready to get through 2019
15439,4:20 link's face tho
15440,I'll give you something to milk you tall lanky bastards.
15441,Dont forget your white flags
15442,There are some spiders that provide milk for their young.
15443,Cool new intro guys! loving it already
15444,Love the new intro
15445,My nickname in school is Twinkie but my health teacher calls me Twink
15446,2019: The year of the Twink
15447,THE YEAR OF THE TWINK
15448,4:04 The water is ready! Get it off the stove!!
15449,Digging the new intro!
15450,"Oh, I am very dissapionted. I was sure the last one gonna be Nut-Milk."
15451,not Alaska :(
15452,"Man, I'm just so happy to see you back. Happy New Year!"
15453,"Wow Link was a guy who put bacon on everything to see if it tasted better, but was brought down by a little grease in his Cheeto milk? I dont understand this mans brain.
Guess thats  what makes it so entertaining"
15454,"""Squeezing a nut sack is not easy""
- Rhett McLaughlin, 2019"
15455,Its sink it not drink it comon
15456,It's 7 am and I don't have school....HECK YEAH
15457,My New Years resolution was to watch all your vids
15458,Been watching since 2014 I think
15459,"Throughout the whole video all I can say is 
Thats what she said"
15460,My favorite intro was 2 intros ago but THIS one I LOVE way better than the previous one. Welcome Back!!!
15461,Congrats on season 15
15462,"you KNOW we love everything new in this when it's almost 2 hours after its posted, there's still less than 100 dislikes"
15463,2019 gonna be dirty
15464,MILK HARD YEAH...!!
15465,No
15466,Satiated is the word Rhett was looking for. Hydrated and satiated.
15467,You made everything sexualized
15468,Tony stark should try that with the spiderman ashes.
15469,Wow great intro guys!
15470,Some of the food yall make I really want to try! This.. not so much :)
15471,Im glad you did this! Milk is one of my favorite things to drink
15472,i have never been so happy!
15473,I bet Rhett makes these jokes just so that he can watch the compilations of out of context good mythical morning moments
15474,Fully bopping out to that new intro
15475,"Good Mythical New Year, fellow Mythical Beasts!"
15476,Happy 2019! Im a little disappointed...they had an opportunity to soak testicles and call it Nut Milk.
15477,OOOO! A new intro!
15478,Welcome back!
15479,Come to Singapore Rhett&Link :D
15480,liked last seasons into better .... sorry
15481,I love the new intro!
15482,"Rhett: Wood you want some milk?
Me: Oakay"
15483,"Oo lala! Im living for the new intro!!!
Im glad that i get my dayly dose of gmm before i get on the school bus! If i dont get it, meez a grummpy boiii"
15484,Cool intro guy
15485,to me it seems less like milking and more like making tea.
15486,LOVE. THE. INTRO. happy new year!!!
15487,@ 14:00 someone forgot to recenter the X in the edit :(
15488,Spidermilk might be de grosest thing they have done
15489,THE NEW INTRO
15490,Yayyy season 15!!!
15491,Shoutout Twinks. #YearOfTheTwink
15492,I know for a fact that cheese ended up looking really cool
15493,so this is what Axiom from Wall-E has been doing
15494,good morning my bois
15495,"If you gonna milk
MILK HARD"
15496,New intro is amazing!
15497,You should also mix things up with real milk and drink them...
15498,Wooo so excited for 2019 GMM!!
15499,IM finally back after a year hiatus from GMM!
15500,Noice intro
15501,You guys should open a restaurant with all the foods and drinks youve guys created that tasted really good.
15502,"I like the mug, hydrib between a soup mug and coffee mug"
15503,Love the new intro!
15504,Love the new intro
15505,Woo hoo
15506,Squeeze your nuts in a milking sack.
15507,you guys are so freaking weird about germs. we have an immune system for a reason...
15508,really liking that intro!
15509,9:15 made me flash back to wood you like a log?
15510,YAAAS THEY'RE BAACK
15511,LOVE the new intro!
15512,Rhett and Link mooing like cows while milking...
15513,"You guys should do ""will it cheese?"" Next"
15514,WHAT
15515,Looked forward to u guys coming back but ugh this kinda grossed me out lol
15516,"Link: MMMMMMMMMMMM!!
Rhett: Is hard isnt it ?
Link: Yeah...milking aint easy"
15517,Hello
15518,"Twinks, this is YOUR year! 
That new intro looks bomb, both visually and musically. My fave is still the s10-s11 one, but this one's definitely a veeeeeeery close second. 
Loved the episode! My evening routine is finally back on track."
15519,New intro chill vibes
15520,It wouldn't be the beginning of a new year/season without gagging! :)
15521,"Not a ""will it"" episode if they arnt Rhettching"
15522,Yas! I feel so happy!
15523,WHERE IS SKITTLE MILK?????
15524,"spider nippel - a really small superhero
coming to theaters 2019"
15525,I can make alot of gay jokes from this ep
15526,"whoa WHOMST is this new intro, I'm having an identity crisis. but also yay, you guys are back!!!"
15527,I am LOVING all the new stuff and i can't wait to wake up every day to my favorite daily routine
15528,I love the intro!! May be my favorite yet
15529,YES! Thank you for coming to St. Louis!
15530,Finally you are back!!! I like the new intro and mug
15531,Such a good intro!
15532,DAAANG THAT INTRO THO
15533,"I work at a coffee shop and we make our own almond milk by blending water  and almonds lol. Squeezing it is such a workout, we have to make 4 batches to fill a pitcher. I have zero sympathy for yall rn this is hilllarrrious"
15534,You should get a soda stream and do will it soda!
15535,YASSS INTROO
15536,Oreos milk with Oreos.
15537,Love the intro!!!!
15538,nice intro
15539,"Ayyy, new intro!! :D"
15540,You guys should do a will it popcorn challenge!
15541,Does that mean that milk tastes like cow?
15542,"Anyone else think that when Link milked the sack of Cheetos, he looked like Toby Maguire in Spiderman 2, when he was stopping the train?"
15543,THE INTROOOOO
15544,Who else LOVES the new intro???!?!!!!
15545,Squeezing a nutsack aint easy
15546,I am loving the new intro. Man that's good
15547,Ok that intro... Not feeling it :(
15548,Will It Milkshake
15549,"The Year of the Twink
My nickname in high school."
15550,2019 The Year of the Twink
15551,Its your biggest fan from Pakistan here. Its 5:43 pm here right  now. And i can't find the book of mythicality here. Any suggestions?
15552,I cant really imagine the taste of wood
15553,9:23 it looks like cider but tastes like cedar... ok Im out lol
15554,Glad I'm awake for this!!!
15555,Im drinking milk right NOW
15556,9:13 I got that Wood you like a log? reference
15557,Host meme review!!!!
15558,Surprise! Milk wood is pseudo-science Alchemy
15559,Yay new intro :)
15560,Good Morning and Happy New Years to all the cast on GMM!
15561,Satiated is the word you're looking for
15562,The year of the twink
15563,"New year, new intro"
15564,Let's mix Will It Cereal and Will It Milk :U
15565,I actually dont really like the intro but other than that Im happy youre back!
15566,Why did nobody think of cereal milk????
15567,Was nourished the word you were looking for Rhett?
15568,"Spidernipple and Spiderflesh are two superheros that the world didn't ask for, but still got."
15569,"I keep rewind the beginning just to hear the new intro....I'll get through the episode, I swear!"
15570,RHETT LOOKS SO GOOD AJSUDJHD AND LINK BUT RHETT-
15571,I dnt like the fact tht they waste so much food... they could donate it to an animal shelter or something... some of it anyways...
15572,"Nourished, stupid."
15573,"Personally never been to grossed out always been like eeww or poor guys, but that looked like flesh or freaking ground beef and idk if it was the thought that all that came from spiders but I gagged. Personally grossest looking thing I have seen you guys try maybe cause I'm just not a spider guy. Love it though starting out 2019 with bang!!"
15574,I don't like the new intro
