ID,Comment,Label
178,Do an episode convincing Link tomatoes are good PLZZ,1
179,Will It mojito?,0
180,#mvplink,0
181,Im waiting for a will it wine,1
182,The or oreo goo would be amazing with ice cream!,1
183,I wanna see an episode where guys do this with Gordon Ramsay and make sure it's extra gross,1
184,Now where should we put this? Preferably on the food,0
185,He was so proud he kept it down,0
186,Head phones no thank u,0
187,13:12 Can this be added to gmm greatest moments?!,0
188,"I have to watch most of ur videos while eating something, otherwise i get hungry",0
189,That turkey looks good... I'm sad because my Thanksgiving turkey was nasty,0
190,Why are you eating hag fish you could die,0
191,"Don't let that guy at the end fool you, durian ice cream literally smells and tastes like a rancid expired fart... but try it",0
192,This went from pg to R real quick lol,0
193,"Oh man, I want a recipe for that pizza gravy.",0
194,Now do the opposite,0
195,I m English so no thanksgiving 4 me,0
196,oh god i hate rosette...rosette wine...is just...it tastes like completely potent ass perfume its gross...,0
197,i think theres some creamy pizza gravy on papa john's cheeseburger pizza,0
198,The guy who swallowed the food with the Hagfish slime looks like LINK .,0
199,Are you sure the edible underwear wasn't second-hand?,0
200,3:17 the only other time ive laughed this hard was when Link ate Balut,0
201,I almost vomited,0
202,"Suggestion for the next will it:  Will it cereal?  Theyve already turned cinnamon toast, French toast, and Oreos into cereal.  GMM should try some experimental flavors so I dont have to.",1
203,Please make a will it Mac and cheese.I think its a good will it idea like if you agree.,1
204,"Honestly, out of all the things I've watched ya'll eat, the hagfish gravy is one of the few things I wouldn't try. I actually gagged.",0
205,Does anyone else ship them?,0
206,Link hates tomatoes but likes pizza.... um?,0
207,Congrats Link. Link 1 Rhett 0,0
208,will it milkshake,0
209,"So is no one going to talk about this?  9:08
Dude I'm dead xD",0
210,M. Mm mmj,0
211,when link said they were going to eat the slime rhett's reaction... ME,0
212,"Dis is Bob
he is 1 moth old
will he live to be 100
1 like=1 year",0
213,Will it tamale,0
214,"Delicious/gross taste test guys.  Now I'm wondering what Chips Ahoy salad dressing will taste like.  ""Will it Salad Dressing?!"" in the future, please.",1
215,will it candy cane,0
216,Who else clicked thinking they where going to put gravy on foods XD,0
217,"DINK IT
SINK IT
slide it",0
218,50 shades of gravy. Absolute perfection,0
219,They should do a will it fruitcake or will it eggnog for Christmas,1
220,Will it popcorn?,0
221,Yes but did Josh go to rhett's house? The important question.,0
222,Dressing is also called stuffing because it usually gets stuffed into a turkey,0
223,I love you guys and watch yall every day. I think it's awesome you're helping out st judes! Thank you guys for all you do!,0
224,Will it icing?,0
225,Put the pizza gravy on wings,0
226,I miss the old intro from 5 years ago,0
227,What happens to all the left overs on GMM?,0
228,Will it shit? Taste test,0
229,ya'll should have josh post the recipes from now on haha,1
230,Link standing up with the edible underwear got me lmao,0
231,"I originally loved Rett, but I feel like he's just phoning it in for the last few months. So now Link is my favorite.",0
232,Will it salad? (Romaine sure won't),0
233,Will it sushi,0
234,11:30 no nut november FAILED,0
235,"You Guys need to do a, ""Will it Snowman"" were you take items from a certain ""genre"" and use them as decorations and accessories  for a snowman.",1
236,"Will it Curry?
Will it Boil?
Will it Bread?
Will it Coffee/Hot Chocolate?",0
237,"Will it Blue Raspberry?
It's a well-known fact that blue raspberry is the best flavor for anything, and there is rarely a time when something blue raspberry-flavored could be considered bad. So how far can you guys push that boundary and make blue raspberry less and less enjoyable?",0
238,Oh my gosh!! Years ago I asked for this episode to happen and t actually did!!!,0
239,Will it granola bar,0
240,Is that what white people eat for thanksgiving WOW thats sad weres the mac and cheese wheres the greens or the green beens just tragic,0
241,"Links vocabulary: pizzay,warm pudding,clingy,right,mmmm,rose all day,basic,onion powder, and the worst one ever, I need to get rid of this chocolate,slinky",0
242,Sorry but link was horny that day,0
243,The way Rhett looks like when link says Drippings and juices make me hungry lol,0
244,"Garleek 
                   -link 2018",0
245,Hope that slime you both ate is not DEADLY,0
246,Hey you guys should do will it soda,1
247,"you know what.... why not sell a GMM cookbook of all the best recipes you guys made? i'd buy it. that would be a great addition to any cook's library. it may be a joke piece, but it would be fun to try some of this stuff",1
248,could you please publish the pizza gravy recipe? i'm curious to see what the version you guys made tastes like.,1
249,"Hmm...What about a ""Will it Whiskey"" or ""Will it porridge"" video..That might sound appetizing :3",1
250,"8:39 fifty shades of gravy
",0
251,You had 1 opportunity to use 69 oreos...,0
252,"Link's gotten kinda savage lately.
""It's not that great. You can go to Rhett's house.""",0
253,"Haven't seen that chef channel yet, get good noob.",0
254,DO A WILL IT PIZZA OR A WILL IT MACRON!!!! PLEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAASE,0
255,Who is thanksgiving,1
256,They should've done this with Yung Gravy,0
257,YUNG GRAVY,1
258,ITS STUFFING ITS NOT DRESSING ITS STUFFING!!!!!!!!!!! >:(,0
259,I follwed you on soptfiy,0
260,13:15 actually made me gag,0
261,13:15 RHETT OMG LMAO,0
262,"right out of the shelves
swings hand
RIGHT INTO PEOPLES MOUTHS
forces biscuit into mouth and gags",0
263,#GMM,0
264,8:27 Link is going to have fun with his wife tonight,0
265,I literally gagged when he swallowed that slimy shii..,0
266,Is it me or is gravy a really odd phenomenon in existence?,0
267,Feels like Rhett is annoyed with Link for some unspoken reason,0
268,4:33 when you dont want to talk first,0
269,"Rhett: you know, you can get pizzas now a days that got Thanksgiving stuff on top of it, and this is the opposite, this is pizza on top of the Thanksgiving stuff, You're welcome world.
Link: You said it Rhett, and you know what? I totally agree.",0
270,"As soon as I saw the fish stuff thingie I knew, this WAS NOT  going to end well",0
271,will it pizza roll??,0
272,I am watching this at night soo GOOD MYTHICAL NIGHT,0
273,"do ""will it gonna be eaten?""",1
274,They should do that Will it kill me lol,1
275,Linkits warm and begging to be poured me*imagining the gravys voice* PoUr Me DaDdY!!!! Me*shudder*,0
276,I would love Gordon ramsay join them on the next will it episode,1
277,will it sexdust?,0
278,"You guys need to do a will it tamale, asap!",1
279,Omg im watching this on thanksgiving,0
280,Was the video of rett freaking out on the crew a joke or was that real?,0
281,"You know, after watching a lot of these ""Will It?"" episodes I didn't think it could get any worse. And then you started talking about Hagfish goo, and I nearly died. You guys are insane lol.",0
282,I watched this the day before Thanksgiving,0
283,I live in North Carolina but I always called it stuffing,0
284,We call it dressing in Mississippi,0
285,"The first one is always the only good one
Edit: Ahem never mind",0
286,They shouldve gotten Yung Gravy on here for this,1
287,"""Gravy my biscuit""  - Link 2018
Put that on a shirt.",0
288,"Rhett- Hagfish, will it gr...
Link- NOOOOOOO",0
289,Not a good roast without some Yorkshires,0
290,U ditched our chairs wait are you filming this stop filming thos,0
291,Soooo who's house is josh going to?,0
292,i mean  0:00,0
293,15:00 lol links face,0
294,Link eats children confirmed,0
295,I eat my pudding warm,0
296,Natural selection: The slime chose Link as a host. Rhett was rejected that is why he couldn't swallow it. lmao,0
297,13:17 He Rhett-ched,0
298,I dont like tomatos either but ill eat pizza and ketchup,0
299,will it snow man??,0
300,will it wrapping paper??,0
301,will it Christmas tree??,0
302,"I feel kinda weird I never tried rose out of all alcoholic drinks I had the chance to try  I guess I'm not a strong, independant woman...",0
303,"Will it Gravy
LINK -NO",0
304,been watching this since I was in elementary. crazy you guys still poppin off,0
305,i wish there was a way to make garlic bread gravy @_@,1
306,"That last one guys, that was bad",0
307,I feel like they were mad at each other just me.,0
308,gravyyyyyyyyyyyy,0
309,will it popcorn,0
310,6:57,0
311,The drippings are for real,0
312,#LTAT,0
313,Will it deviled egg,0
314,They should make a recipe book of all the will its that got yes,1
315,I  G O T  S E X  D U S T  O N  M Y  P A N T S,0
316,Hagfish can Be a Good Gravy since im trying to murder my Enemies,0
317,Can you cook a cook book?,1
318,"Oh man, some of that gravy was Bazaar. I laughed when Link said, please stop talking about boils.",0
319,Am not even watching this in the morning,0
320,9:48 how to know if someone has never had a candy necklace,0
321,I miss the old gmm. Where it gave me something to talk about every morning with my friends,0
322,I'm gonna kill it.. then i'm gonna love it,0
323,Gwenyth Paltrow is a trisomic charlatan.,0
324,the hagfish sauce looks like nut im sorry,0
325,Im sick. Probably not the best time to watch this. OH WELL,0
326,yeet,0
327,"You've been part of my daily (almost) routine for about years :) I remember when you guys had your toast intro and talked about butt tattoos, AND I've got your 1000th episode coin :D thank you so much for being awesome and keep being your mythical best",0
328,Chocolate gravy and biscuits are bomb,0
329,WAMEN,0
330,"Arkansan here. As they were describing the taste and texture of the Oreo gravy, I couldn't help but think... Sounds like chocolate gravy. Which is a completely normal Southern food. Usually for breakfast.",0
331,9:56 OPA Greek confirmed,0
332,"Hey Link!  Pizza has tomato sauce, and tomato sauce is made of tomatos.  You like",0
333,Will it bed,0
334,Watching GMM WITH TAKIS,0
335,I don't like when my food mixes lol. but i want that pizza gravy.,0
336,"idk what I would put pizza gravy on, but I feel a deep need to eat it. On, like, a daily basis. LOL",0
337,A little idea I had while trying to jam 7 sheets of paper into a pair of scissors: Will It Cut?,0
338,Today we ask the age old question: when is this series going to die out?,0
339,NEXT UP ON GMM will it kill me,0
340,That plate looked so good.,0
341,Will it kill me lmfao,0
342,Love you guys y'all are so funny I laughed so hard I cried,0
343,What about will it stuffing??????,0
344,LINK THAT WAS FREAKING AMAZING! FLAWLESS SWALLOW!,0
345,Everyone look up Rhett rages over chair weird,0
346,I have never dry heaved so violently.,0
347,I would order a cookbook of mythicality in a heartbeat!,0
348,come from PG to a R!!,0
349,u live in north carolina ???????????:/,0
350,O dier god you 3 make you vomit 3 times,0
351,https://ifunny.co/fun/xtOEALRF6?s=cl,0
352,"You guys should come out with a cookbook of all your will it yeses. then you could call it. ""Will it? Yes!"" And then other people could try stuff like that",1
353,"I have to watch the |Strange Foods"" based GMM videos according to how my stomach is doing. I got stomach problems and I get queasy at the sight or NORMAL food. Go looking a for a new GMM and it's about strange foods - do I watch or do I not, it's up to the stomach. At the time, it's behaving so I can watch this one now!",0
354,i honestly wanna see if josh/ the crew goes to rhett or links house,0
355,"Okay, but when are you guys releasing a cookbook tho???",0
356,Try chocolate gravy. It is so good. Chocolate gravy with bacon and biscuits was one of my favorite breakfasts growing up.,1
357,will it smore?,0
358,"Is it just me or do Rhett and link seem to be a bit further apart than before, in videos long past. I feel some passive aggressiveness coming from them, but it could just be me",0
359,"@1:03, hella weird",0
360,"You guys should do a ""Will it French Toast""",1
361,Young gravy needs to see this,0
362,I  gravy ! I also want to say thank you for talking about my favorite thing in the whole wide world !,0
363,"@Rhett, be careful what You wish for .... i believe that the invention of ""smellevision"" will kill the show, as a big fan I don't want that",0
364,What day is thanksgiving.,0
365,Will it bean dip?,0
366,"#Bay+#Gools
Means #Baygools",0
367,"I hope somebody finishes off all the food, if not I'm available.",0
368,12:42 ( INTENSE FORESHADOWING ),0
369,That hagfish slime looked just like a big lugie!,0
370,10:17  so random  but kind of attractive. Legit me around my friends cause I tell them everything,0
371,I think it will be good says the man with a trash can in his lap,0
372,i think the Oreo gravy would be a good ice cream topping,1
373,hagfish neop,0
374,Will it door   will it bed.  Will it headset.  Will it fan blade.,0
375,The third GrAvY looks like the slime off of Ghostbusters.,0
376,Yo can someone tell me where to get that sweater Rhett is wearing?,0
377,Just remember! This is still a kids show!,0
378,Why does link look like an angry Lama when he bites the edible thong??,0
379,I hope y'all aren't wasting all that food like y'all can give it away to homeless or shelters,0
380,"*STUDENT: Sir, can I ask a question? 
TEACHER: Yes! 
STUDENT: How do you put an elephant inside a fridge? 
TEACHER: I don't know. 
STUDENT: It's easy, you just open the fridge and put it in. I have another question! 
TEACHER: Ok, ask. 
STUDENT: How to put a donkey inside the fridge? 
TEACHER: It's easy, you just open the fridge and put it in. 
STUDENT: No sir, You just open the fridge take out the elephant and put it in. 
TEACHER: Ooh...ok!! 
STUDENT: Let me ask another one. If all the animals went to the lion's birthday party, and one animal went missing which one would it be? 
TEACHER: The lion of course! Because it would eat all the animals. 
STUDENT: No sir, it is the donkey because it's still inside the fridge. 
TEACHER: Are you kidding me? 
STUDENT: No sir, 1 last question. 
TEACHER: Ok! 
STUDENT: If there's a river full of crocodiles and you wanted to cross, how would you? 
TEACHER: There's no way, I would need a boat to cross. 
STUDENT: No sir, you just swim and cross it because all the animals went to the lion's birthday party*",0
381,That slime looks like... well ya know,0
382,If I were on set I wouldnt be able to keep my laughter inside,0
383,Am I the only one that hates gravy,0
384,You should do will it brownie,1
385,almost 15 million. Know what we'd love? Return of the best WILL ITS and have Josh recreate everything for us to make at home. Recipes. gib.,0
386,Lol,0
387,Link is the messiest eater ever,0
388,Will it yogurt,0
389,"1:20 Yes, Link, you just said that.",0
390,"Hey so I don't know how to contact GMM without having to mail in or whatever, anyway does anyone know where the painting is from or who made it? the one in the background with the desert flower and the cactuses and the sunset, because I want it! haha also think maybe a fan made it and props to them :)",0
391,confirmed link likes his children smothered in gravy...,0
392,Do American people not put wine in gravy anyway ?,0
393,GIVE ME NOW.,0
394,THATS HORRIBLE!... but I am aroused.,0
395,"Me on the gravizza
MAMA MIA!",0
396,it seems like they don't like each other anymore. sad,0
397,"Link's ""I swallowed it stance"" makes me cringe. He always does it, and nobody wants to see the inside of his mouth after eating whatever gross thing he just ate",0
398,"Josh you really missed the opportunity to name it ""Hagatha Christie""",0
399,"Am I in an alternate dimension?
Link just swallowed that and Rhett just puked his guts out..",0
400,50 shades of Gravy,0
401,Next time you should do a will it mince pie for Christmas and do mince meat will it mince pie a savoury mince pie.,1
402,,0
403,,0
404,Who else watches them in the morning as your routine,0
405,THE EDIBLE UNDERWEAR PART HAS ME SCREAMING,0
406,I wonder how your wives still kiss you,0
407,"I
Lo
Lov
love 
  
T
Th
Thi
This",0
408,I mean I wouldve eaten straight up gravy but ok.,1
409,https://www.instagram.com/p/BqQCrhMHqGU/?utm_source=ig_share_sheet&igshid=1n9jr9smv18fr,0
410,Can you guys do will it apocalypse,1
411,Josh peck and link look similar,0
412,Can we get a cook book of all the things you guys have made throughout your episodes?,1
413,I need the recipe for that oreo gravy!!,0
414,I want to know where Rhett got that shirt.,0
415,Will it stay in our mouth?,0
416,"Rhet:Gently nibbles on the edible underwear.
Link:Violently Rips that underwear candy bead string everywhere!!!
Well, Rhett always did seem more meek, lol.",0
417,I want to eat that Oreo biscuit,0
418,No,0
419,"gravy on probation
now Im off probation",0
420,"Link: just how I like my kids, Smothered in something
Me: WHAT",0
421,9:14 LINK THERE ARE CHILDERN WATCHING YA NASTY,0
422,I was wondering why Pizza Gravy would taste like Pepperoni. Then I remember that people are strange and Pepperoni on there pizza,0
423,Will it Windows cleaner,0
424,"This video has only further convinced me that Link is s o m e t h i n g  e l s e (inanimate or otherwise) that is trying to convince us that he is, in fact, human
Or maybe just a dad I guess I don't know",0
425,Still waiting for Will It Penis,0
426,"They are getting less PG as time goes on, and I love it",0
427,Will it sous vide?,0
428,You guys should do Will it Bagel?,1
429,will it marshmallow,0
430,"juices
make gravy out of vape juice",0
431,Do will it ravioli,1
432,That candy wear looks like it got human gravy on it. being its look makes it look gross.,0
433,"Have they done a will it ice cube.
If they haven't then they should, like they could get egg nog and freeze it in an ice cube trays and then put them in Luke warm egg nog",1
434,Loved watching until I saw a video of Rhett flipping out over a chair   Lost respect,0
435,"Idea: Bacon gravy.
I've just created the next million dollar product.",1
436,Is there a seemingly depressive atmosphere?,0
437,What family gets a long during thanksgiving?,0
438,"I don't feel disgusted watching them puking, i think i got tolerance.",0
439,13:11,0
440,"you dont know how long i've screamed ""WILL IT GRAVY"" in the comments on so many different accounts",0
441,"You know, the Oreo Gravy just makes me think of an ice cream topping. o.o Like hot fudge... but Oreo.",0
442,"i guess the morale of this story is if it tastes good now, it'll taste better as gravy",0
443,,0
444,"iT's GrAvY sEaSoN, iT's FlEx SeAsOn",0
445,meh,0
446,"Ive seen you guys eat so many disgusting things but the hagfish slime was definetly one of the worst, even making me gag. Thank you. Keep doing what you're doing.",1
447,We'll be answering the age old question guys I don't think anybody has wondered if things will make a gravy,0
448,"I love that one of the crew members was in absolute shook when Link did it.
He was like ""Oh my God!!!""",0
449,My stumic was turning by the end.... never did that before.. that stuff was so slimy...,0
450,"You know it`s gonna be next level bad, when Rhett goes for the trashcan.. :D",0
451,will it burger,0
452,this is the best one ever! Link you kill me. such a non-controlable gut buster. oh  thankyou.,0
453,How about will it sloppy joe,0
454,Will it Ramen?,0
455,You should start posting recipes for all the things you guys make on will it food.,1
456,I loooove Rhetts shirt!,0
457,"will it mustard?
is mustard great with everything? 
i have been asking for both episodes for months now.
GMM please make them and make my dream of seeing an episode that i want to watch come true for once atleast <3 
OR
2nd of december is my birthday that would be a great gift for me. 
YOU GUYS ARE AWESOME 
LOVE FROM THE UNITED ARAB EMIRATES",1
458,Hello daddy,0
459,Not to be bad but the hagfish gravy looks like something kind of SPG,0
460,A separate show that features the chef whipping up all these meals and the process would be a great idea,1
461,Someone needs to make a Gif at 13:17 of Rhett spitting out.,1
462,"Dressing is different than stuffing though, I could of sworn..lol stuffing, I thought was from inside the turkey where dressing is just by itself? Is that true or am I going crazy? Lol",0
463,i put the video on slow mo and watched rhett eject iit and it is hilarious XD,0
464,I want to see Josh at Rhetts house on instagram for thanksgiving.,0
465,Is it me or did it seem like there was tention between Rhett n link?,0
466,I don't remember if y'all have ever done a turducken segment but I think y'all need to and make it be will it turducken on other things just a suggestion,1
467,The Hagfish Gravy looks more like Man Gravy. (   ),0
468,when you say juice and dripping boy It gets me hungry no one peeped,0
469,"Watching Rhett spit it out at 0.25x speed was the funniest thing ever, I'm crying!",0
470,GMM question. Do you guys ever (besides spicy stuff) have flashbacks of bad experiences in your everyday lives while eating regular food? And has anything (besides spicy foods or something you already didn't like) been ruined for you?,0
471,I used to not know why y'all were youtube famous...I state watching you guys 2 days ago...Now I know.,0
472,13:16 You'll thank me later,0
473,NO MORE SCHOOL FOR a week..... FIRST BREAK,0
474,You guys should do an asmr video,1
475,"What if? 
Will it turkey: you try to shape an item (however you can) into the shape of a turkey
Will it pot pie: treat the item like a normal ingredient in the pot pie
Will it soup: liquify the item and maybe put chunks of the item of it in the soup",1
476,will it cranberry sauce?,0
477,Spider man would like the pizza grave! The spiderman 2 pizza mini game theme plays,0
478,okay but have you not had chocolate gravy and biscuits before???,0
479,Finally an Indonesian my people and DURIAN TASTES GOOD AHHHHHHHH srsly pls stop hating on it,0
480,U should make actually choclate gravy,1
481,Will it pudding,0
482,Will it salsa?,0
483,But I am Aroused,0
484,Rhetts worst nightmare:  Will it liver?,0
485,"""In my heart I swallowed it""
Can't fool me Rhett. I've heard that same lie from too many ex girlfriends.",0
486,WILL IT JELLY?,0
487,Will It oreo,0
488,Will It potato chip,0
489,"Will It milk
Will It taco
Will It slime",0
490,Thats why I dont like gravy,0
