ID,Sentence
58,"Having read through the cumbersome process, I am more incline to build FREE apps with subscription rather than getting any money through the Marketplace."
59,Having to deal with physical paperwork (sending it back and forth) is a step backwards... we are living in a digital world!
60,"There are heaps and HEAPS of really good developers outside of US who really want to contribute to making Windows Phone a preferred choice, so please Microsoft; make it simplier and make it DIGITAL!"
61,"It would be really helpful if, for example, a developer makes an app that takes advantage of the schedule alarm API, and would like to enable the user to select a custom ringtone for that alarm."
62,"This API proposal would enable the user to select from many ringtones already available on the phone, and save developers the trouble of having to implement their own custom ringtones."
63,"If you try to copy-paste multiple recipient number to the To: box in the messaging, the 2nd until the last number will be duplicated."
64,Even as a developer we can create most of the apps for individual users that is standalone. 
65,"If we need to target corporates then then we would need more APIs for device management, also like Zune (for a single user), we would need an Enterprise Server Application which can control the devices (of employees) remotely where we can apply corporate policies on the device as well."
66,Make some usefull app that run ussd code....
67,Please allow the access to Gmails Todo list sync when a google account is added on the windows phone.
68,"Under calendar I see the todo list of hotmail and I like it, it would be great if I can add the gmails ones too and have the ability to make changes when sync happens or just have the ability to add todo items and those get sync to the phone."
69,"Hi, the biggest icon size requited is 200x200 bit in the Marketplace single App page this is resized to 240x240 losing quality."
70,You cant add/update/delete alarms or reminders from a BackgroundAgent.
71,Itd be great if we at least has the ability to change/edit reminders and alarms that were created by that app.
72,And I want to get that response to my app to hanle it.
73,It would be very useful to be able to change the names that my apps appear as when I check the App Hub dashboard.
74,"Developers must be given additional enumeration values in Socketype and ProtocolType to create variety of sockets like raw sockets based on ICMP, IGMP... etc."
75,Allow to create Alert and Reminder from Background Task execution.
76,Allow Orientation=horizontal on a listbox I would like to use the selectionchanged event handler to create a menu using the listbox control.
77,As the heading says provide tools to prevent users from reinstalling apps rather than buy the full version and stop devs from being deprived of purchases that they deserve.
78,"As half the point of my app is the information on the live tile, Id like to have a polite reminder show every so often if they havent pinned it, but I simply dont know whether they have or not."
79,Disable the feature entirely.
80,"Detect when there is a screen shot attempt so we can programmatically not display, obscure, or watermark our graphics."
81,"Like Android we need Phone level events like (SMS received/sent event, Camera ON/OFF event, Phone turned ON/OFF event, Keypad lock event etc.)"
82,I would like a phone remote in windows 8.
83,"Once a application is installed in WP, there should be some way to run that application without user input i.e."
84,"Specifically, we will want the ability to have selective enabling of application features so that when the WP7 are run (after server-side conversion?)"
85,"on newer hardware, they switch to the newer profile."
86,"Barring that, at least allow for merged listings for WP7 and WP8 versions so that customers have a clear upgrade path for the same application."
87,"Or, you could just support the native SDK/Direct X on WP7."
88,Ill take that over the previous two.
89,"Barring that, at least allow for merged listings for WP7 and WP8 versions so that customers have a clear upgrade path for_?_ more"
90,The concept explains itself well in below blogpost: WinRT Transitions _?_ Creating Fast and Fluid Metro UIs http://www.scottlogic.co.uk/blog/colin/2011/10/winrt-transitions-creating-fast-and-fluid-metro-uis/
91,Using Vodafone GSM and the used data includes Unicode characters thus whole message is failed.
92,"i could imagine, that in the same way the sms-icon is shown on the lockscreen, a mini app icon is shown aswell, from apps that got notifications (facebbok, whatsapp....)"
93,"Add an option to delete future appointment in Calendar and preserve previous, when used the option to repeat"
94,Platform should provide access to call log so you can create applications which for example retrive unknown numbers from call log and find their information from public directories.
95,"The customized unlock apps are very popular on android and symbian, we hope that we could do the same on WP7."
96,"At the moment, there is 1-to-1 relation between companies and countries."
97,Its OK for small business but what about bigger one?
98,We have several dev-centers in 3 countries and extra sales-offices in more countries.
99,"Same time, WP7 registration intends we MUST use 1 country only."
100,"These descriptions also appear differently depending on where they are being viewed (web, zune on PC or device)."
101,"The Update Description field has a documented purpose, but then in the forums I read that this field does not appear in the Marketplace."
102,Please provide a way to 1) predictably introduce newlines into the description fields 2) let me see how these fields will render in the different environments (WYSIWYG) 3) show me how the Update Description will be used in my updated app There does not seem to be a way to control newlines in the application descriptions on the Marketplace.
103,Please provide a way to 1) predictably introduce newlines into the description fields 2) let me see how these fields will render in the different environments (WYSIWYG) 3) show me how the Update Description will be used in my updated_?_ more
104,Quicker way to go to the bottom of the metro screen to view tons of pined apps.
105,I currently develop for Android and iOS.
106,"I am interested in developing for Windows Phone, but would need a device, to pay registration and learn a 3rd platform to do so."
107,"That involves a lot of time, which is a large risk to smaller development companies. "
108,"If Microsoft created some incentives, like a free device (Blackberry did this) and a free year of membership (Amazon did this) it could drive a lot of developers to the platform which is crucial to the platform taking off."
109,I would jump at the opportunity to adapt my apps for Windows Phone if Microsoft created incentives for me to try the platfrom.
110,Cant use keyboard in landscape mode in some app
111,You would finally be able to add and customize your alert and text sounds! 
112,Of course each app would have permission accepted by user and each app would have own isolated storage for more private.
113,It would be nice to see Windows Phone move to optional vector based icons instead of static bitmaps. 
114,This would allow the application bar (or appbar) to resize if say HD screens were added.
115,"Ideally, users would only need 2 icons for the marketplace: Tile (contains the application name), and List (just the icon for the app list)."
116,Appbars could be created at 48x48 and resized as needed.
117,"I know this is a pain on developers that are not designers or have designers, but an option would be nice time saver for the future."
118,It would be nice to be able to delete a cert you have uploaded.
119,"Id like to be able to decorate my home screen by pinning my favorite photos, directly from within the pictures application."
120,Allow users to organize tiles into separate hubs.
121,A secondary start hub I can use to store occasionally used apps would be good.
122,An automated hub for recently used apps would also be good.
123,Please allow the access to phone filesystem.
124,It would be a great benefit if the developers can manipulate the sdcard resources etc etc.
125,"HP have the ePrint functionality, Apple the Airprint."
126,Can you not make connection to these devices possible?
127,I want to give a textbox a placeholder text.
128,This now requires creating a custom control.
129,I want this to be available out of the box.
130,"Oh, and I want the option to create labels for the textbox."
131,Provide the access to pictures in PhotoChooser and Camera Roll in emulator
132,Since the easiest way to get hold of files to be used in programs is by downloading them from a network or the internet and saving them in isolated storage it would make the whole thing a lot easier if you could do this with FTP.
133,FTP is still one of the most used protocols for retrieving files.
134,And using a proxy is not always an options since some of us would like to be able to reach FTP servers that is on a separate network.
135,"IMAP idle for push emails and sync read, forward and answered mails plus sync send folder!"
136,Email for business is very impotant!
137,"For all the guys & girls over the 45 years old, de need a really big clock in the main display."
138,Thanks (sorry about my english).
139,Positioning cursor is almost imposible
140,WP should support ussd menu and umb as well
141,"Once removed the Metro interface looks good from a desktop app, but on the mobile phone is horrible."
142,"When the volume is in the rang 01-09, the volume does not decrease."
143,"Continuing my prior post about allowing us to explicitly flip secondary live tiles with a tap instead of launching the app, this request would allow such an action to explicitly update the tile by triggering a function call in a background task."
144,"Perhaps these two ideas are combined and you define which action to take when creating/updating the tile... Flip the tile, execute a background task (or both), or simply launch the app like normal (possibly with deep toast.)"
145,"That would really make LiveTiles Live which now, they kind of arent and were by *far* the biggest disappointment when we saw the actual SDK."
146,"Coming from iOS, when we did see that, we scrapped two apps we were going to release on WP7."
147,"(A third was scrapped because of the inability to do location tracking in a background task more frequently than once every 30 minutes, which is sort of the same stale data issue as here.)"
148,"Since its user-initiated, it wouldnt drain_?_ more"
149,"In the Schedule Namespace ist isnt possible to have access to the Media Library to play Songs, User has already on his Device -> Please add this function to get access to the Media Library."
150,"Another thing is, to have the possibility to modify the Notification, wich is shown, when the Alarm or Reminder Rings."
151,"We need to open our Application, or to overwrite the notify to costumize it to get a better improvement for the user."
152,"Extend the API to query phone volume and vibration settings, maybe even set them."
153,Please provide validation templates for WindowsPhone controls.
154,"However, not everybody has a physical device, so having those experiences in the emulator would be a great addition to the dev tools and resources."
155,"Would be nice and useful to have email messages grouped by date, same as contacts grouped by initial letter."
156,For sharing audio and video there should be a very plain possibility to share stuff as already encoded package.
157,Perhaps that could be available as Toolkit in codeplex.com.
158,There needs to be an Alpha Test mechanism available.
159,"Since the beta test versions I recently submitted have been waiting for certification for 9 days, there is no way for us to work together on this."
160,My boss is not a developer and has no development tools but absolutely needs to see the progress of development in a timely manner.
161,If the Beta program certified apps in a day then this might not be a problem.
162,"As it is, it is hardly usable as a beta test program since our customers also need to see the app and improvements in a timely manner."
163,"We need support special multitasking tasks, like VOIP and IM!"
164,"We cant create good apps for this services without this API, looks on your Skype client, wtf??"
165,iOS already has this APIs!
166,"Volume on headphone, when phone rings while listening to a song, raise to max volume."
167,Multi-select on Zune to delete Albums or to create a playlist
168,"Read/write accsess to email sync settings could enable applications to create custom sync profiles (based on week-days, time, position, etc)."
169,Implement Soundwave touchless api on the phone for touch free Metro.
170,Microsoft boffins showed how they can use audio via the speaker and microphone and a dopplar computation to detect gestures without touching the screen.
171,I want to use that on the Phone for some games.
172,"In the submission process, publishers should be able to check a box for apps that are made for individuals 13 or older and 18 or older."
173,"This should flag a feature in the marketplace, when an app is being downloaded, to verify the age of the downloader."
174,"In WP7 you can add multiple accounts of different types (Live, Google, Facebook, etc)."
175,It would be nice to be allowed to get basic information about these accounts.
176,"For example, get a list of all email accounts and for each account report the number of unread emails."
177,I think there are two ways to improve the beta program: 1.
178,Make apps available immediately.
179,"When developing on iOS (using testflight) or Android, we dont have to wait two hours for beta code to be approved."
180,We upload a new version or have the users download an update immediately.
181,"If immediate approval is not possible, then apps that have been published should be immediately available."
182,"When we receive emails saying the beta application is published, users are not able to download the application with the very own links provided in the email."
183,Users are reporting a 1-2 day time between when the app is approved to when it is available for download.
184,Users receive a strange marketplace error when trying to download the application.
185,When developing apps it is often useful to leverage existing Launchers and Choosers as Tasks to access certain data or perform an operation.
186,It would be ideal to allow apps to expose certain bits of data or functionality to other apps to provide a complementary experience in terms of reuse of information or performing similar tasks.
187,Imagine shopping apps being able to share a set of data such as a wish list or news apps being able to share a list of news feeds.
188,"Imagine having an installed app do what it does best for another app, such as perform a series of complex calculations or gather weather data."
189,It would be the responsibility of the app to decide what it exposes for data or functionality.
190,This can first be alleviated as with other security screening by prompting the user to allow an app to access another apps tasking features.
191,"In such case, youd better make your videos carefully so that it can leave a good user experience to the potential clients."
192,"If you convert video to FLV flash video, which features much smaller size than popular formats, your videos will be watched unhinderedly with quick loading."
193,select FLV as output format
194,"If you are more requirements of your video, such as bit rate, encoder, etc, you are do these settings one by one in the pop-up Formats window."
195," When everything is finished, you can click Start button to start the video to FLV conversion process."
196,You are allowed to preview the converting process in slideshow.
197, MPEG or ect.
198,"If you convert video to FLV flash video, which features much smaller size than_?_ more"
199,Allow the BackgroundAudioPlayer to play tracks from the MediaLibrary.
200,Or allow applications that implement the XNA MediaPlayer class to run in the background.
201,"Please add the possibility to add your own spell check service, or provide the data if a system wide one existed."
202,"When I want to build some tiles in my app, I have to use buttons that I give a custom style."
203,"But this is ugly since everyone implements this in another way, resulting in odd alignments, bad text colours, etc."
204,We need a simple and standardized way to create simple tiles that function as buttons.
205,Beta testers test our apps for free.
206,It would be nice if when the app/game is published in the marketplace we could include a list of the testers that helped us so they can get the app from free instead of having to buy it.
207,"Android,iOs and Blackberry are compatible with this API So why dont we"
208,"I would be a really nice gesture to have an option wich can put everything to the other side, so when left handed people scroll, they could also see the content."
209,Visual Studio 11 and new Expression Blend.
210,Merge products together.
211,"Add open app in marketplace in the app menu (rate & review, uninstall, pin to start)"
212,It does not look professional when scrolling upward at the end of any page or downward at the top the content of the page regardless of material or application will be stretched down
213,It is part of the effect through the whole operating system and does not particularly belong to any application.
214,Sometime the stretched content of the page does not look professional.
215,We need UPD broadcast to search for our devices in the network.
216,"When an exception is thrown and intercepted by the debugger, Edit and Continue permits to change your code right while debugging to make the code continue."
217,We can allow music that is not copyrighted to be accessible if that is a huge issue.
218,"Link to sql is not efficient at all, could they include sql , sqlight or other library."
219,"It s impossible to connect easily to ftp network, I suggest to include it in the future sdk."
220,We want an Office Hub that open Openoffice document.
221,Currently for dynamic data binding controlls like listbox  is recommended.
222,Why cant I change phone search and IE search to Google or another provider that actually work?
223,Fix Bing or fix the phone.
224,"At best this is unclear, but should the user pan or zoom they lose the frame of reference for the place were trying ot show them."
225,You can sometimes work around this behaviour by specifying a search for the place youre trying to indicate but this is dependent upon the search results.
226,If the search finds nothing you get no pin.
227,Or if the search finds something other than what you intended you can end up with a pin (or pins) far from where you want them.
228,If it were possible to tell the task to show a pin (or pins) at a specific point (or points) that that would allow for a better user experience.
229,Even if we could just specify a label for the pin that would be better than nothing.
230,"Add an option Private to lock photos, movies, songs, calendar appointments..."
231,An exit button should be there on all application softwares.
232,"Show used volume, so you can see how much MB of your inclusive volume is already used."
233,We could just upload a CSR and Microsoft provide a signed certificate via their own CA.
234,It would be nice if a choice between vibration and the sound is given for typing
235,Pin settings airplane mode wifi etc in the start screen
236,"Allowing for tester groups or profiles would allow for efficient test setup in the Marketplace, especially for multiple products, by allowing a group to be assigned to the app as it is entered in the Marketplace as a beta."
237,"Additionally, it would be great to have additional support for Enterprise developers that target a specific set of clients as opposed to the public masses of the Marketplace."
238, while at the same time providing additional benefits to larger enterprise-level corporations.
239,"Ideally, a mini storefront or splash page for the company and product would help draw in clients."
240,"Allowing for tester groups or profiles would allow for efficient test setup in the Marketplace, especially_?_ more"
241,"If the app shows sensitive data when deativated, it would be good to be able to use a different image for fast app switching instead of a screenshot of the application"
242,"Daemon service should be turnable on and off per app basis, in the same way like periodic tasks."
243,Microsoft should advertise windows phone development APIs in Visual Studio
244,"Please make it instead fire an event, which could be used to open an apps search bar or page."
245,At least support displaying static GIF image.
246,"Back and forward buttons needed, not the capacitive back button."
247,Please consider to enable support for unsafe code in Silverlight and Xna apps.
248,Maximizing all current main apps would be better than having 1mil appd in the marketplace.
249,Create option to allow Periodic Agents to run even if app has not been opened for x days.
250,This gives my family up to four LIVE accounts.
251,"On an Xbox, we can log in and play games no problem, yet a W7 phone allows for only one user."
252,"I cant even log in to another account to check or edit it, let alone play games with it."
253,A certain rival brand of phones allows users to switch between their LIVE equivalent accounts with no problems whatsoever.
254,"I bought my WP7 phone with gaming in mind, but theres more than one gamer in this house - please make it possible for several gamertags to be used on one device!"
255,Keeping the message as draft when exiting would save me the hassle of having to type it again...
256,Can we have windows phone development using visualstudio lite IDE which includes only phone developement.
257,"Start by expanding the number of apps that can use a certain key word, such as childrens stories so that new apps who innovate can displace those who got their first with potentially crappy apps."
258,"Secondly, you need to limit the number of apps that a publisher can submit with a particular key word."
259,"We should have some way within our app to get notify that whether user selected call, dont call and when he/she ended call means notification of end call."
260,"It would be more useful if specific Service apps could be released that would extend these features by, for example, adding a Google+ option to the sharing interface."
261,"Would be nice if in power point, could have same method as in pictures hub for navigation."
262,"Received from an MVP this week over email: It would be great to be able to have the emulator location data use the NMEA file format - either via file import/export, or using the files directly as a feed."
263,Other devices use this format and it would be great to see it supported by Windows Phone.
264,they all use Sip so it would be great to have a native sip client integrated.
265,Also a T9 keyboard would be nice too.
266,I want to be able to add a picture to the media library and then start the SharePictureTask to let the user see and share it from the Pictures Hub
267,Remove the 50 apps limit from the phone and 100 app limit from the marketplace web site when users search for an app with a search term.
268,add a quick access Block button/function to be used when receiving spam over chat
269,I would like to see a monthly/yearly subscription model introduced that let me charge users $5 a year for my app for example.
270,We really need Assembly Binding Redirection (or Publisher Policies) in Windows Phone!!
271,It would be great if you could add .png support to the medialibrary so that we can save high quality png files to the picture library.
272,"Being able to use simple uncompressed .wav files would open up many possibilities for ring tone editors, and make files recorded from the microphone ready to be used as ringtones."
273,It would be great if the Windows Phone development team could allow us to use the RSTP streaming protocol in .NET Compact Framework we use.
274,Provide preference setting to categorize apps in the long list by their categories in app store rather than names or alphabetical order...this is extremely helpful for people with lots of apps and provide the ability to maintain the uniformity of the UI while making it more user friendly
275,This will provide more usability of the live tiles on the start menu..especially when one needs to drag multiple tiles through long list
276,Please get metequotes to make metatrader for Windows Phone.
277,"Need of Logger Class to log error,Info,Verbose and daemon Information."
278,As it is available in android.It improves the debugging process.
279,"It displays the certificate signer information, but you could easily upload two certificates with different CNs (service names) issued by a single CA and you would have no way of telling them apart."
280,"Minimally it should show the CN from the subject which matches the service name you provide in client code, along with the CN of the signer. "
281,Ideally it would allow you to download the certificate for verification or at least provide a md5 hash of the uploaded certificate.
282,Right now you can upload an unsupported certificate or even self-signed cert and apphub will not provide any feedback.
283,Allow the user to be able to set a custom reminder time such as 2 hours or 1.5 hours before the Calendar entry.
284,At present you only provide fixed values like 1hr or 18hr before!
285,tesco club card app shows you points and you have you clubcard bar code avaible on your phone to scan at checkout
286,"apps has your nectar that you are able to scan in stores, also shows you your points balance, and allows you to shop online and collect more nectar points."
287,I would like a button I can click that will only select the countries for which Microsoft already accounts for any taxes.
288,Support file transfer such as PDF files
289,A bevy of restrictions can also be heaped on the said user control in order to maintain performance and not sap battery life.
290,"Let Live tiles be live, please."
291,when an alarm pops up an option to edit the reminder should be included instead of having to constantly hit snooze or exit the reminder and go into the object itself
292,I need a posibility to set the keyboard language from code.
293,"the focus on TextBox1 opens the keyboard with the german layout, the focus on TextBox2 opens the keyboard with a greek layout."
294, true); I have tested this and it works fine.
295,"If the keyboard is not installed, nothing changes and the current layout remain."
296,"Please implement this, it is important for me for a translation application."
297,"I suggest to create hardware ratings, like ones in Winows 7 (WEI), for the smartphone in order to help both users and developers to match hardware with apps or games. "
298,I think that this ratings will even enable developers to create different versions of the same app pointing to specific hardware.
299,It would be nice to be able to use the computer keyboard when using the emulator.
300,Its a bit frustrating to type with the mouse.
301,we cant use some important libraries in the background agent like Microsoft.devices.sensors that limite our power to creat a good application
302,"currently you can only pin an album, but it would be useful if you can pin a single image as a tile.. that way you have easy access to a it."
303,"school schedule, bus route, or a picture of someone you like..."
304,The current AdControl crashes any app which uses the silverlight/XNA hybrid mode.
305,Apparently this has never worked nor communicated to Devs!
306,"I normally wouldnt say This is unexceptable but given that silverlight/xna hybrid is the new big thing for WP7, this issue needs immediate attention."
307,...which is useful if you want to add an appointment with the same time/location/notes as a previous one.
308,"Currently when you press and hold an appointment in the calendar, you have the option to Edit or Delete."
309,"You either have re-enter all the info, or change the date of the old appointment (but thats not ideal because you lose record of old appointments)"
310,"local scout should show more than just 20 results, there should be the ability to state the radius from current location and all businesses within that radius should be shown, which could greatly exceed 20. also, if searching a company name for a small business/restaurant, it would be good if that could show within local results."
311,"often i try to search for a restaurant and there is no result under local, instead i have to find their website and then their postcode."
312,"this would save me that hastle, and make planning journeys much simpler."
313,Allow an app to disable text messaging preview.
314,Allow users to link their app with the me and people hub directly.
315,"Now that we have API access to contact information it would be useful to immediately be able to click on a contact and open it in a related app, e.g."
316,"Skype, twitter, etc."
317,Add a full support of RegionInfo and add possibility to instanciate one with two letter iso code.
318,"SO, we can use it to dispal country name with user language."
319,"Add option to hide keyboard: specially when you want to copy a long text.. the keyboard takes around 60% of your LCD space, leaving you with a tiny window to work with."
320,Exactly As The Title Says.
321,can you please create a tesco clubcard app
322,Allow the ability to view SSL Certificates on HTTPS Connections in IE and have the option to install the CA.
323,I suggests to add some kind of Storage to store GPS POI.
324,In addition this storage may have integration with contacts to allow user have geographical map of his contacts.
325,port Internet Explorer 10 to a mobile version (as soon as ie10 is ready) to get all new ie10 features to our mobile phones so we can build better webapps for windows phone.
326,pls support fixed possitioned elements!!
327,Id like to have tiles of various colours on my start screen.
328,"Allow access to raw data such as signal strength imformation to allow creation of indoor location positioning using available wifi, bluetooth or cellular networks when no gps data is available."
329,It would be nice if there were an app that logged things that happen on your phone: ie.
330, it would be also great if there were an icon in the status bar that indicates that that are new events/notifications..
331,Id like the ability for an application to be quick loaded from the right-hand corder of the lock keypad.
332,"If thats not possible, allow a button to be overriden and pressed during the locked screen process."
333,"Also, I want to be able to set the % left of power for when the batterysaver kicks in."
334,The default setting is way too late--Id prefer 50% or more remaining before turning on.
335,Itd be very convenient for developers without actual devices to test their apps for the certification requirements if everything could actually be tested with the emulator.
336,Please upgrade the YouTube App by Microsoft Corp. with Metro UI instead directing to a mobile site.
337,Expose the SongCollection class so we can add and remove song objects from custome song collections.
338,Allow the BackgorundAudioAgent to utilise the XNA framework so that the devices song library can be played and manipulated from the background.
339,You would also need to provide a conversion mechanism to convert a Song to an AudioTrack - as is the default file type for the BAP.
340,Relax the restrictions around application running under a locked screen and/or in the background.
341,Unless of course we go with a predetermined SongCollection such as SongCollection limitedPlaylist =_?_ more
342,We need the ability to build apps that are capable of video editing for WP!
343,"Please DevGroup make this APIs should enable developers to build apps that include the ability to do video trimming, editing, and saving to the video library."
344,This is needed to build VoIP application.
345,Playing audio stream in loudspeaker is uncomfortable for users.
346,"sir, i have samsung omnia w. its running latest update."
347,"when i charged my phone, then the key press becomes laggy and hard"
348,Allow applications to define custom shaders in HLSL.
349,This will allow sophisticated game graphics and real-time image processing.
350,Also allow access to MP4 encoder library (hardware accelerated) so apps can generate their own videos.
351,"This should also allow apps to read existing videos, modify frames and write them back."
352,for gps tracking apps
353,"There is an Android app which displays all local wifi connections, with their channel number, strength and, of course, name."
354,WPF7 should have one like this too!
355,"Currently, I can detect and control what the embedded Zune player is currently playing."
356,The same cant be done with 3rd party apps implementing background audio streaming like soundtracker etc.
357,"Hello, thank you for this site."
358,I was very happy to be able to scan barcodes from the search button and I would like to use this in my application.
359,The design guidelines should be the law.
360,"Dont allow ugly interfaces, be stricter on things like navigation, general look and feel, even animation."
361,"Give developers good explanation what they do wrong, and enforce good design."
362,"If something is unresponsive, it should not be allowed unless there is a clear and good reason for it."
363,"Apps should take no longer than 2-3 seconds to start, and need to explain why they would take longer."
364,Make the marketplace of the highest quality out there!
365,"Support for WEBGL like the rest of the world - Microsoft have done this too many times - we as MS developers are starting to look stupid 5 years behind on the mobile market - Ballmer iPads are just under powered PCs, Gates the internet is just a fad enough admit you are wrong early rather than late its much easier that way."
366,The biggest problem I almost exclusively run into when working on WP7 apps is the layout performance of Silverlight.
367,Its takes quite some effort to work around that problem.
368,And according to web searches about this problem I felt that Im not a lone with this.
369,Itd be great if you would work on a solution to improve the situation.
370,too often we come across a word in an app we might not know or we just want to confirm the meaning of it we colud look it up right where u r without the need to exit n go in to another app.
371,with this mod we can enjoy the platform more the than ever before is to make in the landscape like the upcoming windows 8 or like the original tile home screen from up to down or down to up
372,An address bar should be added to Calendar items to give the location of your appointment/meeting.
373,This address should be visible on the Bing maps showing you the location of your calendar item.
374,"Vice versa, you should be able to schedule via the Bing maps, adding a location on the maps and linking it to the Calendar."
375,Return back a multi-task support (may be optional?) will significal improve advanced users experience.
376,"In current situation its almost impossible to create some kind of applications, such as different trackers, survilence etc"
377,A color picker control just like the one in the phones settings would be really useful for apps which want to offer the user a choice of colors.
378,"I know I can code one, but it should be one of the standard controls."
379,The current IE mobile browser doesnt support keyup correctly.
380,Id like to show Youtube videos in my app.
381,"I would like to have control over the size, positioning and playback of a video."
382,"there should be an option to change the working of these buttons to double click, so that a slight"
383,"Allow for video camera control, start and stop recording from the touch screen instead of just the camera button."
384,A demo or prototype category like it exists on Android would solve this issue.
385,"As of now the number of contacts that can be added to a group is restricted to 20, please remove the cap."
386,Already music streaming is supported but only for single songs.
387,wouldt it be great to add albums to SkyDrive and stream them directly from there.
388,Prefferably the albums would be integrated in the music & videos hub similarly to jow SkyDrive pictures are integrated in pictures hub
389,All notifications should exist in a pull down shade in iOS/Android style.
390,The pull down shade should take on the color theme you have choosen for your phone.
391,"Notifications should exist within the shade as black tiles and will illustrate the notification type and a short phrase from the email, sms text, facebook/twitter mention, etc."
392,have a background agent enable all the time to execute an application event not execute them periodically
393,"Ability to add a custom buttons to system call app, like in screenshots http://bit.ly/incomingScreen http://bit.ly/incallScreen click on button will launch some callback which will access to: 1."
394,Access to call voice stream in/out 2.
395,"Access to call controls, can initiate a new call, end exists, etc, all features provided by standard buttons on call page"
396,"currenty when you hit the Back button from the Folders (in the Mail app), it takes you back to Homescreen."
397,Please fix this so that it goes back to Inbox (and not exit the app!)
398,"in addition to the current Alphabetical view, add Sorting options like: Sort by last installed, Sort by recently accessed.. Also it would be nice to have a shortcut screen like the fullscreen blue alphabet tiles, but with dates: 1 day ago, 1 week ago, 2 weeks ago..."
